,title,price,link
0,"Lenovo IdeaPad Slim 5 Intel
                                        Core Ultra 5 125H Built-in AI 16"" (40.6cm) WUXGA-IPS 300Nit Thin & Light
                                        Laptop (16GB/1TB SSD/Win 11/MSO 21/FHD+IR Cam/1Yr ADP Free/3 mon Game
                                        Pass/Grey/1.9Kg), 83DC0042IN  ","80,490",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0Mzc0NzIwMjc5MDgxODI1OjE3MjM3OTY0NTY6c3BfYXRmX25leHQ6MzAwMTMzMzcxNzQ1MDMyOjowOjo&url=%2FLenovo-IdeaPad-Built-WUXGA-IPS-83DC0042IN%2Fdp%2FB0CSSPYJWK%2Fref%3Dsr_1_49_sspa%3Fcrid%3DSI8S7XFM9KC6%26dib%3DeyJ2IjoiMSJ9.4hINc7wPKAEhUSyIIZg482fqBPdd9Qk0OxYXFzGhDBZdJ1jhBWZpnaDLeha6OypMqPq_MPlvBpizUzNg6A3mj068GzxxjrLYTottTVscPccEGTMg2oJROCY0W-iedc0N6yqezXT1ltDcw2sJDIQjMlbA4lCscHuLZxbnU8NUvC0QeYYNRT2aAS9LgK14ko-ObEPizwTDYs4H9HQrfcq5J21VmCqr2Wg7dk5AFeg3la8.nbeJPzF3aOkNMozwbLe3m2ONTQLfcT9ysBhQy6G2UMU%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1723796456%26sprefix%3Dlaptop%252Caps%252C217%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
1,"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13500H 16"" (40.6cm) 2.5K IPS 350Nits Laptop (16GB/1TB SSD/Win 11/Office 2021/Backlit KB/FHD 1080p Camera/Alexa/3 Month Game Pass/Grey/1.89Kg), 82XF0077IN  ","71,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0Mzc0NzIwMjc5MDgxODI1OjE3MjM3OTY0NTY6c3BfYXRmX25leHQ6MzAwMTU2NTM0NzYzMDMyOjowOjo&url=%2FLenovo-IdeaPad-350Nits-Backlit-82XF0077IN%2Fdp%2FB0CNK232CB%2Fref%3Dsr_1_50_sspa%3Fcrid%3DSI8S7XFM9KC6%26dib%3DeyJ2IjoiMSJ9.4hINc7wPKAEhUSyIIZg482fqBPdd9Qk0OxYXFzGhDBZdJ1jhBWZpnaDLeha6OypMqPq_MPlvBpizUzNg6A3mj068GzxxjrLYTottTVscPccEGTMg2oJROCY0W-iedc0N6yqezXT1ltDcw2sJDIQjMlbA4lCscHuLZxbnU8NUvC0QeYYNRT2aAS9LgK14ko-ObEPizwTDYs4H9HQrfcq5J21VmCqr2Wg7dk5AFeg3la8.nbeJPzF3aOkNMozwbLe3m2ONTQLfcT9ysBhQy6G2UMU%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1723796456%26sprefix%3Dlaptop%252Caps%252C217%26sr%3D8-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
2,"Acer [Smartchoice] Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/8 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG  ","28,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0Mzc0NzIwMjc5MDgxODI1OjE3MjM3OTY0NTY6c3BfbXRmOjMwMDE5MzkwOTY5NzAzMjo6MDo6&url=%2FAcer-Smartchoice-Premium-Windows-AL15-41%2Fdp%2FB0CWTSF1TK%2Fref%3Dsr_1_59_sspa%3Fcrid%3DSI8S7XFM9KC6%26dib%3DeyJ2IjoiMSJ9.4hINc7wPKAEhUSyIIZg482fqBPdd9Qk0OxYXFzGhDBZdJ1jhBWZpnaDLeha6OypMqPq_MPlvBpizUzNg6A3mj068GzxxjrLYTottTVscPccEGTMg2oJROCY0W-iedc0N6yqezXT1ltDcw2sJDIQjMlbA4lCscHuLZxbnU8NUvC0QeYYNRT2aAS9LgK14ko-ObEPizwTDYs4H9HQrfcq5J21VmCqr2Wg7dk5AFeg3la8.nbeJPzF3aOkNMozwbLe3m2ONTQLfcT9ysBhQy6G2UMU%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1723796456%26sprefix%3Dlaptop%252Caps%252C217%26sr%3D8-59-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
3,"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe Graphics, Backlit KB,MSO,Thin & Light, Dual Speakers (Win 11, Silver, 1.69 kg), fq5330TU  ","50,800",https://amazon.in//HP-i5-1235U-15-6-inch-graphics-speakers/dp/B0CTKHTNWL/ref=sr_1_141?crid=SI8S7XFM9KC6&dib=eyJ2IjoiMSJ9.CUqsX01Fasn2XMhW4dIy8c8VPERmmfSLWpw-_mdvu4cyWvuBj9ER_BeDcsGGTyXL8O4akcb8HBNx3jjNutV3RLjKWeoiTbIKEizwwvLQe99GcknaGCwWxZcMSgsiH8At56r1zVuq6pnBJjxeYQjmZxlyFyq-6uY61HARiIxfW6UGLnQqL8aG2XiKM2xwvLvYP68gizfK5J6DbJPPoeoFVPSbqsBpK0r_ODuVHRjCTKU.ytLsvAFSSkoyvpDDAsRWSuITAFfkso5g55XPE9dYqnc&dib_tag=se&keywords=laptop&qid=1723796482&sprefix=laptop%2Caps%2C217&sr=8-141
4,"HP Pavilion Plus 14 AI-enhanced Laptop, Intel EVO Core Ultra 5 125H,14-inch (35.6 cm) 16GB, 512GB SSD, Intel Arc Graphics, WQXGA, 300 nits, 120Hz, 5MP IR Camera, (Win 11, MSO, Blue, 1.44 kg), ew1082TU  ","83,990",https://amazon.in//HP-Pavilion-AI-enhanced-Graphics-ew1082TU/dp/B0D4TXZW5R/ref=sr_1_142?crid=SI8S7XFM9KC6&dib=eyJ2IjoiMSJ9.CUqsX01Fasn2XMhW4dIy8c8VPERmmfSLWpw-_mdvu4cyWvuBj9ER_BeDcsGGTyXL8O4akcb8HBNx3jjNutV3RLjKWeoiTbIKEizwwvLQe99GcknaGCwWxZcMSgsiH8At56r1zVuq6pnBJjxeYQjmZxlyFyq-6uY61HARiIxfW6UGLnQqL8aG2XiKM2xwvLvYP68gizfK5J6DbJPPoeoFVPSbqsBpK0r_ODuVHRjCTKU.ytLsvAFSSkoyvpDDAsRWSuITAFfkso5g55XPE9dYqnc&dib_tag=se&keywords=laptop&qid=1723796482&sprefix=laptop%2Caps%2C217&sr=8-142
5,"Acer Nitro V Gaming Laptop 13th Gen Intel Core i5-13420H with RTX 3050 Graphics 6 GB VRAM, 144Hz Display (16 GB DDR5/ 1 TB SSD/Windows 11 Home/Wi-Fi 6),15.6""(39.6cms) FHD ANV15-51  ","72,990",https://amazon.in//Acer-i5-13420H-Graphics-Display-ANV15-51/dp/B0CQP3H49P/ref=sr_1_143?crid=SI8S7XFM9KC6&dib=eyJ2IjoiMSJ9.CUqsX01Fasn2XMhW4dIy8c8VPERmmfSLWpw-_mdvu4cyWvuBj9ER_BeDcsGGTyXL8O4akcb8HBNx3jjNutV3RLjKWeoiTbIKEizwwvLQe99GcknaGCwWxZcMSgsiH8At56r1zVuq6pnBJjxeYQjmZxlyFyq-6uY61HARiIxfW6UGLnQqL8aG2XiKM2xwvLvYP68gizfK5J6DbJPPoeoFVPSbqsBpK0r_ODuVHRjCTKU.ytLsvAFSSkoyvpDDAsRWSuITAFfkso5g55XPE9dYqnc&dib_tag=se&keywords=laptop&qid=1723796482&sprefix=laptop%2Caps%2C217&sr=8-143
6,"HONOR MagicBook X16 (2024), 12th Gen Intel Core i5-12450H, 16-inch (40.64 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/ Full-Size Numeric Keyboard /1.68Kg), Gray  ","49,717",https://amazon.in//MagicBook-i5-12450H-Anti-Glare-Full-Size-Keyboard/dp/B0CRQB4HBP/ref=sr_1_144?crid=SI8S7XFM9KC6&dib=eyJ2IjoiMSJ9.CUqsX01Fasn2XMhW4dIy8c8VPERmmfSLWpw-_mdvu4cyWvuBj9ER_BeDcsGGTyXL8O4akcb8HBNx3jjNutV3RLjKWeoiTbIKEizwwvLQe99GcknaGCwWxZcMSgsiH8At56r1zVuq6pnBJjxeYQjmZxlyFyq-6uY61HARiIxfW6UGLnQqL8aG2XiKM2xwvLvYP68gizfK5J6DbJPPoeoFVPSbqsBpK0r_ODuVHRjCTKU.ytLsvAFSSkoyvpDDAsRWSuITAFfkso5g55XPE9dYqnc&dib_tag=se&keywords=laptop&qid=1723796482&sprefix=laptop%2Caps%2C217&sr=8-144
7,"(Refurbished) Dell Vostro 3420 Laptop,12th Gen Intel Core i3-1215U, 8GB & 512GB SSD, 14.0"" (35.56Cms) FHD WVA AG 250 nits, Windows 11 + MSO'21, Carbon Black (D552325WIN9BE, 1.48 KGs)  ","29,741",https://amazon.in//Renewed-Dell-Vostro-i3-1215U-35-56Cms/dp/B0BTYMRV3K/ref=sr_1_145?crid=SI8S7XFM9KC6&dib=eyJ2IjoiMSJ9.CUqsX01Fasn2XMhW4dIy8c8VPERmmfSLWpw-_mdvu4cyWvuBj9ER_BeDcsGGTyXL8O4akcb8HBNx3jjNutV3RLjKWeoiTbIKEizwwvLQe99GcknaGCwWxZcMSgsiH8At56r1zVuq6pnBJjxeYQjmZxlyFyq-6uY61HARiIxfW6UGLnQqL8aG2XiKM2xwvLvYP68gizfK5J6DbJPPoeoFVPSbqsBpK0r_ODuVHRjCTKU.ytLsvAFSSkoyvpDDAsRWSuITAFfkso5g55XPE9dYqnc&dib_tag=se&keywords=laptop&qid=1723796482&sprefix=laptop%2Caps%2C217&sr=8-145
8,"Acer Aspire 5 Gaming Laptop 13th Gen Intel Core i5(16GB RAM/512GB SSD/NVIDIA RTX 2050 4GB Graphics/144Hz/Win11Home)A515-58GM 15.6"" FHD Display, Steel Gray, Backlit Keyboard, Fingerprint Reader, 1.78KG  ","56,990",https://amazon.in//Acer-Graphics-Win11Home-A515-58GM-Fingerprint/dp/B0D1G7B66L/ref=sr_1_146?crid=SI8S7XFM9KC6&dib=eyJ2IjoiMSJ9.CUqsX01Fasn2XMhW4dIy8c8VPERmmfSLWpw-_mdvu4cyWvuBj9ER_BeDcsGGTyXL8O4akcb8HBNx3jjNutV3RLjKWeoiTbIKEizwwvLQe99GcknaGCwWxZcMSgsiH8At56r1zVuq6pnBJjxeYQjmZxlyFyq-6uY61HARiIxfW6UGLnQqL8aG2XiKM2xwvLvYP68gizfK5J6DbJPPoeoFVPSbqsBpK0r_ODuVHRjCTKU.ytLsvAFSSkoyvpDDAsRWSuITAFfkso5g55XPE9dYqnc&dib_tag=se&keywords=laptop&qid=1723796482&sprefix=laptop%2Caps%2C217&sr=8-146
9,"Lenovo ThinkBook 15 G5 AMD Ryzen 3 15.6"" FHD Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Fingerprint Reader/Mineral Grey/1 Year Onsite/1.7 kg), 21JF002JIN  ","30,450",https://amazon.in//Lenovo-ThinkBook-Antiglare-Fingerprint-21JF002JIN/dp/B0CGCKPWCX/ref=sr_1_147?crid=SI8S7XFM9KC6&dib=eyJ2IjoiMSJ9.CUqsX01Fasn2XMhW4dIy8c8VPERmmfSLWpw-_mdvu4cyWvuBj9ER_BeDcsGGTyXL8O4akcb8HBNx3jjNutV3RLjKWeoiTbIKEizwwvLQe99GcknaGCwWxZcMSgsiH8At56r1zVuq6pnBJjxeYQjmZxlyFyq-6uY61HARiIxfW6UGLnQqL8aG2XiKM2xwvLvYP68gizfK5J6DbJPPoeoFVPSbqsBpK0r_ODuVHRjCTKU.ytLsvAFSSkoyvpDDAsRWSuITAFfkso5g55XPE9dYqnc&dib_tag=se&keywords=laptop&qid=1723796482&sprefix=laptop%2Caps%2C217&sr=8-147
